RICE_PRODUCTION ,WHEAT_PRODUCTION ,KHARIF_SORGHUM_PRODUCTION,RABI_SORGHUM_PRODUCTION,SORGHUM_PRODUCTION,PEARL_MILLET_PRODUCTION,MAIZE_PRODUCTION,FINGER_MILLET_PRODUCTION,BARLEY_PRODUCTION,CHICKPEA_PRODUCTION,PIGEONPEA_PRODUCTION,MINOR_PULSES_PRODUCTION,GROUNDNUT_PRODUCTION,SESAMUM_PRODUCTION,RAPESEED_AND_MUSTARD_PRODUCTION,SAFFLOWER_PRODUCTION,CASTOR_PRODUCTION,LINSEED_PRODUCTION,SUNFLOWER_PRODUCTION,SOYABEAN_PRODUCTION,OILSEEDS_PRODUCTION,SUGARCANE_PRODUCTION,COTTON_PRODUCTION
682.46,2.95,0,0,2.42,0,61.36,1.85,0,1.63,1.31,9.9,0.03,1.23,2.88,0,0,0.43,0.01,0.03,4.76,0.34,0
1184.98,3.2,4.4,0,4.4,0,72.3,0,0,1.7,0.93,17.7,0,1.01,2.6,0,0,0.7,0.02,0,7.35,0.12,0
772.88,2.49,1.97,0,1.97,0,82.85,1.69,0,1.47,0.93,15.56,0.01,1.27,2.9,0,0,0.52,0.01,0.03,7.5,0.34,0
1341.33,2.47,1.92,0,1.92,0,84.27,1.98,0,2.05,1.4,17.03,0.03,0.85,2.93,0,0,0.56,0.01,0.04,7.1,0.16,0
1265.91,1.75,0,0,1.59,0,99.48,1.62,0,1.39,1.37,15.53,0.05,0.56,2.9,0,0,0.52,0,0.01,6.67,0.14,0
1377.04,1.86,0,0,2.09,0,86.93,1.68,0,2.11,1.38,16.19,0.04,1.15,2.82,0,0,0.48,0.01,0.03,7.06,0.33,0
664.46,1.75,0,0,1.52,0,88.98,1.26,0,1.33,1.21,13.21,0.09,1.23,2.58,0,0,0.35,0.01,0,5.54,0.1,0
1294.97,1.53,0,0,2.34,0,123.66,1.61,0,0.91,1.22,16.8,0.12,1.4,2,0,0,0,0,0.01,0,0.2,0
801.82,2.22,0,0,1.79,0,120.22,1.44,0,1.29,0.66,15.07,0.08,0.76,1.24,0,0,0.1,0,0.01,0,0.11,0
469,2,0.5,0,0.5,0,1,0.3,0,1,2,-1,5,0.7,0,0,0,1.2,0,0,-1,2.7,0
625,4,0.5,0,0.5,0,1,0.4,0.1,2,4,-1,9.8,0.7,0.1,0,0,5.3,0,0,-1,3.3,0
630,4,0.5,0,0.5,0,1,0.5,0.1,2,4,-1,6,1.4,0.1,0,0,6.2,0,0,-1,4,0
671.2,3.4,0.4,0,0.4,0,0.7,0.5,0.1,1.8,4.2,36.5,6.9,1.2,0.1,0,0,3.1,0,0,11.3,3.2,0
898.5,4.8,0.4,0,0.4,0,1.4,0.6,0.1,2.5,5.2,78,7.8,0.9,0.1,0,0,8.2,0,0,17,3.3,0
699.8,4.9,0.4,0,0.4,0,1.1,0.5,0.1,2.8,4.6,112.6,5.9,0.4,0.1,0,0,8.7,0,0,15.6,3.6,0
687.9,5.7,0.5,0,0.5,0,1.1,0.5,0,2.3,4.9,75.9,6.4,1.1,0.1,0,0,4.8,0,0,12.5,3.6,0
669.5,7.6,0.4,0,0.4,0,1,0.6,0,2,2.9,64.1,5.4,1.1,0.2,0,0,7.1,0,0,13.9,3.3,0
415.6,7.6,0.3,0,0.3,0,0.8,0.5,0,1.4,3.1,24.2,5.2,1,0.2,0,0,3.2,0,0,9.8,2.8,0
685.2,12.2,0.5,0,0.5,0,1.1,0.6,0,2,3.9,88.5,6.8,1.1,0.3,0,0,9.1,0,0,17.3,3.5,0
578.6,8.4,0.4,0,0.4,0,0.9,0.5,0,0.9,1.3,28.9,3.1,0.5,0.1,0,0,2.2,0,0,5.9,3,0
904,17.9,0.7,0,0.7,0,0.9,0.7,0.1,2,3,99.7,4.9,0.8,0.1,0,0,7.9,0,0,13.8,3.1,0
686,20.5,0.4,0,0.4,0,0.8,0.7,0,1.6,2.4,79.8,5.4,0.6,0.1,0,0,4.7,0,0,11,2.3,0
420.2,10,0.3,0,0.3,0,0.6,0.3,0,1.5,2,18.8,8.4,0.3,0.1,0,0,1.6,0,0,4.8,2,0
724.7,19.2,0.5,0,0.5,0,0.6,0.5,0,1.7,2,49.8,8.2,0.8,0.2,0,0,4.3,0,0,8.7,1.7,0
791.5,17.2,0.6,0,0.6,0,0.8,0.5,0,2.2,3,51.6,8,1,0.2,0,0,3.7,0,0,10,1.4,0
617,17.4,0.3,0,0.3,0,0.6,0.4,0,2.6,1.7,60.7,4.4,0.6,0.1,0,0,2.7,0,0.1,6.5,1.3,0
988.8,10.7,0.5,0,0.5,0,0.9,0.6,0,2.3,2.8,79.3,6.1,0.6,0.2,0.1,0,5.1,0,1.4,13,2.2,0
924.3,11.9,0.5,0,0.5,0,1.1,0.5,0,2.6,2.2,65.3,3.6,1.3,0.2,0,0,4,0,1.3,11.3,1.3,0
1304.3,12.3,0.5,0,0.5,0,0.8,0.5,0,3.6,2.4,70.1,4.8,1.3,0.2,0,0,5.6,0,1.3,14.4,1.1,0
809,20,0.4,0,0.4,0,1,0.4,0,4,2,47.8,4,0.8,0.1,0,0,6,0,0.4,10.2,0.9,0
1012,16,0.4,0,0.4,0,1,0.5,0,6,2,61.1,6,1.3,0.3,0,0,4.2,0,0.3,12.6,0.8,0
850.1,13.7,0.4,0,0.4,0,0.7,0.4,0,5.7,2,32.8,6,1.3,0.4,0,0,1.8,0,0.5,9.9,0.7,0
1186.1,13.1,0.4,0,0.4,0,0.9,0.4,0,7.6,2.1,49.8,5.3,1.8,0.4,0,0,3.6,0,0.4,11.3,0.9,0
1155,18.9,0.5,0,0.5,0,0.6,0,0,8.8,2.2,62.8,7.2,1.4,0.56,0.1,0,3.2,0,0.27,12.8,0.8,0
1218.8,13.7,0.4,0,0.4,0.02,0.9,0,0,11.1,1.8,72,8.2,1.1,0.42,0,0,3.7,0.12,0.38,13.9,0.8,0
1382.3,16.5,0.4,0,0.4,0.01,1.4,0,0,11.9,3.8,85.8,11.5,1.4,1.28,0.1,0,4.7,0.12,0.88,20,0.9,0
1400.1,21.8,0.5,0,0.5,0,1.3,0,0,14.1,4.1,85.1,9.4,1.7,1.02,0.1,0,5.4,0.14,1.02,18.8,0.8,0
1303.5,22.4,0.3,0,0.3,0,0.6,0,0,15.7,3.2,83.7,6.6,1.1,0.9,0.1,0,5.7,0.05,0.8,15.3,0.6,0
1314.9,19.5,0.3,0,0.3,0,0.8,0,0,13.1,2.9,85.5,7.4,1.1,1.1,0.1,0,3.9,0.1,0.1,13.8,0.9,0
1448.8,16.7,0.2,0,0.2,0,0.8,0,0,12.6,2.7,76.3,7,1,1,0.1,0,3.8,0.1,0.8,13.7,0.8,0
1016.2,13.2,0.3,0,0.3,0,0.7,0,0,8.8,2.2,25.5,7.1,0.9,0.7,0.1,0,2.5,0.1,1.2,12.6,0.6,0
643,17.9,0.4,0,0.4,0,1,0,0,13.8,3.6,52.76,13,1.4,2,0,0,5.2,0.1,1.3,23.44,1,0
1378.88,0,0,0,0,0,1,0.3,0,9.73,2.87,50.75,8.1,1.24,1.34,0.04,0,2.81,0.13,0.76,14.33,0.6,0
461.63,10.6,0.23,0,0.23,0,0.81,0.27,0,4.58,1.07,8.56,8.56,0.83,0.3,0.02,0.01,1.36,0.16,0.46,11.68,0.05,0
1120.82,19.63,0.24,0,0.24,0,0.52,0.34,0,10.52,1.1,10.34,9.89,1.16,0.85,0.02,0,2.2,0.27,0.89,15.3,0.03,0
659.62,16.9,0.3,0,0.3,0,1.23,0.28,0,10.7,1.3,8.77,8.09,1.27,0.69,0.04,0,1.98,0.2,0.52,12.81,0.03,0
1316.34,20.28,0.25,0,0.25,0,2,0.35,0,21.74,1.74,9.45,8.8,1.33,2.75,0.07,0.01,3.33,0.36,0.86,12.82,0.04,0.01
1147.58,14.85,0.17,0,0.17,0,1.42,0.32,0,12.29,1.66,8.43,9.2,1.42,2.22,0.1,0.01,2.31,0.29,1.03,17.52,0.05,0.04
1147.58,14.85,0.17,0,0.17,0,1.42,0.32,0,12.29,1.66,55.22,9.2,1.42,2.22,0.1,0.01,2.31,0.29,1.03,16.57,0.05,0
1324.71,12.16,0.35,0,0.35,0,2.35,0.25,0,18.08,1.3,62.58,8.02,1.23,2.27,0.12,0,2.63,0.58,0.95,15.79,0.05,0.02
1483.28,13.08,0.17,0,2.16,0.01,2.89,0.25,0,37.3,1.75,94.59,8.32,1.06,1.84,0.04,0,1.57,0.21,1.05,14.08,0.07,0
1252.38,11.04,0.22,0,0.29,0,1.39,0.27,0,35.33,1.78,54.45,7.93,1.14,1.99,0.04,0,2.02,0.22,0.71,14.04,0.06,0
1307.24,18.01,0.34,0,0.38,0,2.13,0.06,0,46.26,1.48,68.5,9.5,1.44,3.4,0.04,0,2.61,0.09,0.53,17.6,0.01,0
1521.13,15.2,0.23,0,0.23,0,1.8,0,0,15.1,1.12,62.08,9.51,1.35,1.7,0.1,0,1,0.28,0.8,14.85,0.04,0
1421.37,17.89,0.1,0,0.1,0.01,3.6,0.16,0,20.32,1.23,31.14,8.06,1.05,2.32,0.05,0,1.42,0.51,0.44,13.87,0.07,0
1974.69,17.75,0.15,0,0.15,0.01,17.05,0.11,0,18.46,1.51,48.74,9.58,0.9,1.83,0.03,0,1.03,0.35,0.94,14.17,0.08,0
1749.21,15.86,0,0,0.05,0,22.77,0.05,0,13.04,1.28,50.59,9.38,0.57,1.45,0.03,0,0.68,0,0.57,12.89,0.08,0
2127.73,21.24,0,0,0.08,0.01,29.67,0.05,0,19.99,1.3,83.32,8.26,0.89,1.65,0.26,0,0.61,0.32,0.47,12.53,0.14,0
1412.83,19.3,0,0,0.02,0,20.1,0.05,0,12.88,0.93,43.11,8.63,0.97,1.7,0.03,0,0.43,0.23,0.35,11.36,0.09,0
2432.48,17.95,0,0,0.02,0.02,18.15,0.04,0,22.35,1.26,75.56,8.14,0.7,1.24,0.03,0,0,0,0.43,0,0.07,0.01
1520.95,23.66,0,0,0.02,0,13.67,0.04,0,34.48,0.58,36.64,5.34,0.43,1.7,0.02,0,0.08,0,0.09,0,0.05,0.01
325,9,0.8,0,0.8,0,12,0,0.2,8,4,-1,3,0.5,0.4,0,0.2,4.6,0,0,-1,5.4,0
546,10,1.2,0,1.2,0,15,0,0.3,10,5,-1,3,0.4,0.8,0,0.2,7,0,0,-1,5.9,0
416,12,1,0,1,0,10,0,0.5,11,7,-1,2,0.8,1.7,0,0.3,6,0,0,-1,5.6,0
453.5,11.4,1,0,1,0,10.2,0,0.4,13.1,7.5,27.6,2.9,0.6,1.5,0,0.3,7,0,0,12.9,5.7,0
587.9,14.5,1.2,0,1.2,0,15.4,0,0.4,12.6,10.4,70.6,2.9,0.5,1.3,0,0.3,8.4,0,0,14,4.7,0
564.7,14.8,1.2,0,1.2,0,12.8,0,0.3,14.8,10.1,97.2,2.5,0.4,1.5,0,0.3,10,0,0,15.1,4.9,0
534,17.5,2.1,0,2.1,0,16.2,0,0.3,14.5,11.5,65,2.6,0.6,2,0,0.3,10.8,0,0,16.3,4.8,0
497.5,18,1.6,0,1.6,0,12,0,0.5,15.7,7.1,78.9,2,0.5,2,0,0.3,10.6,0,0,15.9,4.5,0
489.8,18.1,1.5,0,1.5,0,10.7,0,0.5,14.2,10,64.4,2.7,0.4,2.2,0,0.3,8,0,0,14,5.2,0
646.5,22.1,1.5,0,1.5,0,10.8,0,0.6,17.7,9.9,85.6,2.1,0.4,3,0,0.3,9.2,0,0,15.2,5.3,0
425,10.2,1.2,0,1.2,0,11.2,0,0.2,12.3,4.5,41.2,2.5,0.3,0.5,0,0.2,3.8,0,0,7.4,5.2,0
690.4,18,1.6,0,1.6,0,8.3,0,0.6,14.1,6.4,60.3,2.1,0.4,1,0,0.2,7.9,0,0,12.5,8.2,0
